,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
1303,"RT @aykook7bts: jungkook in Doha, Qatar today &lt;3
plz he's just the cutest and most adorable with every single detail 

WELCOME TO QATAR J",imchechie,Rachel Soberano,,13,61,0,2881,Fri Nov 18 01:03:18 +0000 2022,1593409480305565696,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"jungkook in Doha, Qatar today &lt;3
plz he's just the cutest and most adorable with every single detail 

WELCOME TO QATAR JUNGKOOK 
#JUNGKOOKIE #jungkook97 #jeonjungkook #JungkookInQatar #FIFAWorldCupQatar2022 #FIFAJUNGKOOK #JungkookAtFIFAWorldCup #doha_prince #Qatar2022 https://t.co/GdDUMSK6bl",True,aykook7bts,AyatFIFAKOOK,Iraq ,452.0,299.0,8.0,330353.0,Thu Nov 17 20:57:17 +0000 2022,1.593347566741201e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,18.0,2.0,230.0,903.0
1304,"Trying to comprise a list of  reporters on the ground in Qatar follow over the next couple of weeks #WorldCup2022 

@battledinosaur 
@joeylynchy 
@VinceRugari 
@adampeacock3 
@DanielGarb 
@davidweiner9 
@davutovic 
@SaintSmithies 
@schwarzer_mark",_SkyBlueViews,Sky Blue Views,"Sydney, New South Wales",1387,1065,12,27561,Fri Nov 18 01:03:18 +0000 2022,1593409480502321152,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
1305,"RT @jiims:  The First CHEER TO EARN 
@sportfanspass
  
The Hottest World Cup NFT Collection  

Premint closed @ 20,482 
Exclusively",bigwinusd1111,intan0909,"Bekasi, Jawa Barat",484,2495,4,36349,Fri Nov 18 01:03:19 +0000 2022,1593409481068539904,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0," The First CHEER TO EARN 
@sportfanspass
  
The Hottest World Cup NFT Collection  

Premint closed @ 20,482 
Exclusively Offering 10 WL spots

 Games Airdrops
 Big Giveaways
 P2E Football 
1/Like 2/Retweet 3/Tag 3Friends 

#WorldCup2022 #Qatar2022 #NFTGiveaway https://t.co/V6ZfQ47NAA",True,jiims,ayu,,293800.0,7736.0,1674.0,35167.0,Thu Nov 17 15:09:36 +0000 2022,1.5932600698018243e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0.0,5.0,1253.0,413.0
1306,"RT @ashoswai: 2,711 Indian workers have died in Qatar in building stadiums, houses, and roads for the 2022 World Cup. Indian media talks ab",mainindianhoon,FAITHFUL INDIAN,Joined March 2015,186,613,5,5649,Fri Nov 18 01:03:19 +0000 2022,1593409481375121408,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"2,711 Indian workers have died in Qatar in building stadiums, houses, and roads for the 2022 World Cup. Indian media talks about Pakistani-Origin Sunak but completely ignores the poor Indian workers, who send billions of remittance money home.",True,ashoswai,Ashok Swain,"Uppsala, Sweden",467036.0,1960.0,798.0,36967.0,Thu Nov 17 22:42:30 +0000 2022,1.593374045629825e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,5.0,29.0,180.0,614.0
1307,"STAR WARS Slippers, Boba Fett, Darth Vader, Stormtrooper, Chewbacca, Kids and Adults HX1JARV

https://t.co/6vvLtFa32O

#barbie #goddess #ebooks #qatar #wifi #ucldraw #bradford #candy #blackwomen #btsarmy #app #ttot #jazz #fabric #healthy #iartg https://t.co/mj9b3Fgp8B",cristkjm,Kenton.CristKjM,,8,4,0,3,Fri Nov 18 01:03:19 +0000 2022,1593409481181913089,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
1308,@ToulasTake First Beijing last February (namely the crap served to athletes under quarantine) and now Qatar. Want to understand part of the reason why we don't want sporting events in dictatorships? This is one solid reason.,AKDNManUtd2010,Danny (Montreal MUFC)   ,,120,224,4,11939,Fri Nov 18 01:03:19 +0000 2022,1593409481865576451,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
1309,RT @xruiztru: Qatar World Cup death toll is staggering (compred to other major sporting events). By @washingtonpost https://t.co/0OgVefZACD,aiammaia,aiammaia,Fishguard UK,538,1067,75,94288,Fri Nov 18 01:03:20 +0000 2022,1593409486064082945,"<a href=""https://play.google.com/store/apps/details?id=com.arthurivanets.owly"" rel=""nofollow"">Оwly</a>",en,0,0,0,0,Qatar World Cup death toll is staggering (compred to other major sporting events). By @washingtonpost https://t.co/0OgVefZACD,True,xruiztru,Xavi Ruiz, Brussels - Barcelona,43855.0,856.0,502.0,148976.0,Tue Nov 15 16:48:40 +0000 2022,1.5925602265193636e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,122.0,76.0,1020.0,2383.0
1310,RT @ne_al_: That's so neat Zak can gay Palestinians make out with eachother on a beach in Tell Aviv?,n4ssie,,Scouse state-affiliated media,2535,1445,8,131966,Fri Nov 18 01:03:20 +0000 2022,1593409487242657792,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,That's so neat Zak can gay Palestinians make out with eachother on a beach in Tell Aviv?,True,ne_al_,neal,he/they + views own,5199.0,3810.0,12.0,97087.0,Thu Nov 17 18:27:17 +0000 2022,1.5933098166755164e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0.0,2.0,10.0,80.0
1311,RT @cjwerleman: Qatar is first Muslim country to host FIFA World Cup. The tournament opens [dress rehearsal] with a recitation from the Qur,SezzarP,SezzarTePazzar,,202,202,1,707,Fri Nov 18 01:03:20 +0000 2022,1593409487691554817,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"Qatar is first Muslim country to host FIFA World Cup. The tournament opens [dress rehearsal] with a recitation from the Quran. 
https://t.co/I7qN5EB96R https://t.co/in5J8S59YB",True,cjwerleman,CJ Werleman,USA,333147.0,4164.0,2655.0,138806.0,Thu Nov 17 23:45:17 +0000 2022,1.5933898458122158e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,20.0,20.0,166.0,668.0
1312,RT @amjadt25: Exclusive: Qatar bribed eight Ecuadorian players $7.4 million to lose the opener(1-0  2nd half). Five Qatari and #Ecadour i,escanoorr,Thierno,Raftel,794,678,1,46357,Fri Nov 18 01:03:21 +0000 2022,1593409489276846080,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"Exclusive: Qatar bribed eight Ecuadorian players $7.4 million to lose the opener(1-0  2nd half). Five Qatari and #Ecadour insiders confirmed this.We hope it's false. We hope sharing this will affect the outcome.The world should oppose FIFA corruption.
@MailSport #WorldCup2022",True,amjadt25,Amjad Taha  ,"England, United Kingdom",437430.0,1998.0,738.0,107978.0,Thu Nov 17 15:54:27 +0000 2022,1.593271354803032e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,6791.0,1384.0,9112.0,33450.0
